timestamp,symbol,open,high,low,close,volume
2024-04-30 04:00:00+00:00,AAPL,173.33,174.99,170.0,170.33,65934776.0
2024-04-30 04:00:00+00:00,MSFT,401.49,402.16,389.17,389.33,28781374.0
2024-04-30 04:00:00+00:00,HOOD,17.14,17.3,16.47,16.49,8986252.0
2024-05-01 04:00:00+00:00,AAPL,169.58,172.705,169.11,169.3,50383147.0
2024-05-01 04:00:00+00:00,MSFT,392.61,401.7199,390.31,394.94,23562481.0
2024-05-01 04:00:00+00:00,HOOD,16.43,17.35,16.31,16.65,8903479.0
2024-05-02 04:00:00+00:00,AAPL,172.51,173.415,170.89,173.03,94214915.0
2024-05-02 04:00:00+00:00,MSFT,397.66,399.93,394.6515,397.84,17709364.0
2024-05-02 04:00:00+00:00,HOOD,16.93,17.63,16.76,17.61,7544744.0
2024-05-03 04:00:00+00:00,AAPL,186.645,187.0,182.66,183.38,163224109.0
2024-05-03 04:00:00+00:00,MSFT,402.28,407.15,401.86,406.66,17446724.0
2024-05-03 04:00:00+00:00,HOOD,17.88,18.135,17.63,17.95,9478765.0
2024-05-06 04:00:00+00:00,MSFT,408.76,413.93,406.3701,413.54,16996639.0
2024-05-06 04:00:00+00:00,HOOD,17.63,18.46,17.48,17.78,18716931.0
2024-05-06 04:00:00+00:00,AAPL,182.354,184.2,180.42,181.71,78569667.0
2024-05-07 04:00:00+00:00,HOOD,17.75,18.26,17.67,17.99,12486155.0
2024-05-07 04:00:00+00:00,AAPL,183.45,184.9,181.32,182.4,77305771.0
2024-05-07 04:00:00+00:00,MSFT,414.66,414.67,409.09,409.34,20018228.0
2024-05-08 04:00:00+00:00,HOOD,17.6,17.9378,17.37,17.85,23043846.0
2024-05-08 04:00:00+00:00,AAPL,182.85,183.07,181.45,182.74,45057087.0
2024-05-08 04:00:00+00:00,MSFT,408.17,412.23,406.7132,410.54,11792308.0
2024-05-09 04:00:00+00:00,HOOD,19.042,19.47,17.04,17.3,51207410.0
2024-05-09 04:00:00+00:00,AAPL,182.56,184.66,182.11,184.57,48982972.0
2024-05-09 04:00:00+00:00,MSFT,410.57,412.72,409.1,412.32,14689727.0
2024-05-10 04:00:00+00:00,HOOD,17.42,17.69,16.22,16.23,24466185.0
2024-05-10 04:00:00+00:00,MSFT,412.935,415.38,411.8,414.74,13402281.0
2024-05-10 04:00:00+00:00,AAPL,184.9,185.09,182.13,183.05,50759496.0
2024-05-13 04:00:00+00:00,MSFT,418.01,418.348,410.82,413.72,15440226.0
2024-05-13 04:00:00+00:00,HOOD,16.62,17.61,16.57,16.89,24385630.0
2024-05-13 04:00:00+00:00,AAPL,185.435,187.1,184.62,186.28,72054409.0
2024-05-14 04:00:00+00:00,MSFT,412.02,417.49,411.55,416.56,15109306.0
2024-05-14 04:00:00+00:00,HOOD,17.77,18.67,17.65,18.02,33654517.0
2024-05-14 04:00:00+00:00,AAPL,187.51,188.3,186.29,187.43,52393619.0
2024-05-15 04:00:00+00:00,MSFT,417.9,423.81,417.27,423.08,22239533.0
2024-05-15 04:00:00+00:00,HOOD,18.35,18.5799,17.57,18.52,19468518.0
2024-05-15 04:00:00+00:00,AAPL,187.91,190.65,187.37,189.72,70399988.0
